appid,genres
1058330,Action;Sports
1058370,Adventure;Free To Play;Indie
1058380,Adventure;Casual;Indie;Simulation;Strategy
1058430,Indie;RPG
1058450,Action
1058490,Simulation;Early Access
1058530,Adventure;Casual;Indie;Simulation
1058560,Action;Adventure;Casual;Indie
1058640,Action;Free To Play;Indie
1058650,Action;Indie;Massively Multiplayer;Simulation;Strategy
1058710,Indie;RPG;Simulation;Strategy
1058770,Adventure;Indie;RPG;Simulation;Strategy;Early Access
1058800,Strategy
1058830,Action;Casual;Indie
1058930,Adventure;Casual;Indie;Simulation;Sports
1059120,Adventure;Casual;Free To Play;Indie
1059190,Action;Casual;Indie;Simulation;Early Access
1059460,Action;Adventure;Casual;Indie;Simulation
1059850,Adventure;Casual;Indie
1059880,Action;Adventure;Casual;Indie;RPG
1059890,Action;Adventure;Casual;Indie;RPG
1059900,Adventure;Casual;Simulation
1059980,Action;Casual;Indie;RPG;Strategy
1059990,Casual;Indie
1060210,Action;Adventure
1060220,RPG;Strategy
1060230,Indie;Simulation;Strategy;Early Access
1060310,Action;Adventure;Indie;Simulation
1060320,Indie
1060590,Casual;Indie;RPG;Simulation;Strategy
1060670,Casual;Indie
1061010,Adventure;Casual;Indie;RPG
1061090,Action;Adventure;Indie
1061100,Action;Adventure;Massively Multiplayer;RPG;Strategy
1061260,Casual;Free To Play;Indie
1057810,
1061470,
1061490,
1061730,
1061910,
1061930,Action;Adventure;RPG
1062040,Action;Adventure;RPG
1062060,Adventure;Casual;Free To Play;Indie
1062090,Indie;Simulation;Strategy;Early Access
1062000,Indie;Simulation;Strategy;Early Access
1062110,Action;Adventure;Indie;RPG
1062140,Adventure;Indie;RPG
1062160,Indie;Simulation
1062260,Adventure;Casual;Indie;RPG;Simulation;Strategy
1062340,Action;RPG
1062520,Adventure;Casual;Indie;RPG;Simulation
1062810,RPG;Strategy
1062830,Action;Casual;Indie;Simulation;Strategy
1062960,Action;Adventure;Indie;Racing;Simulation
1063300,Adventure;Indie
1063310,Action;Adventure;Casual;Indie
1063340,Adventure;Indie;RPG
1063420,Action;Adventure
1063440,Action;Adventure;Indie;Simulation
1063580,Adventure;Indie;Strategy
1063660,Action;Adventure
1063730,Action;Adventure;Massively Multiplayer;RPG
1063770,Action;Adventure;Free To Play;Indie
1063860,Casual;Indie;RPG;Simulation
1063890,Action;Adventure;Indie;Simulation
1063990,Action;Indie;Strategy
1064100,Casual
1064130,Simulation
1064200,Indie;Simulation;Strategy
1064310,Adventure;Indie
1064340,Free To Play;Strategy;Early Access
1064580,Adventure;Indie
1064460,Adventure;Indie
1064610,Indie;Free To Play
1064660,Adventure;Indie
1064730,Adventure;Casual;RPG;Simulation;Strategy
1064820,Design & Illustration;Photo Editing;Software Training;Utilities;Early Access
1064860,Indie;RPG;Simulation
1064900,Adventure;Indie;Simulation
1065020,Action;Indie
1065100,Adventure;Indie;RPG;Simulation
1065180,Action;Indie
1065200,Indie
1065260,Indie;Racing
1065310,Action;Adventure;RPG
1065320,Action;Indie;Racing;Sports
1065520,Action;Casual;Simulation
1065570,Action;Adventure;Indie
1065750,Adventure;Free To Play;Indie
1065920,Action;Adventure;Indie;RPG;Strategy
1065940,Indie;RPG
1065950,Indie;RPG
1065970,Casual;Indie
1066110,Animation & Modeling;Design & Illustration;Education
1066130,Casual;Indie;Simulation;Sports
1066160,Action;Adventure;Casual;Indie;Simulation
1066260,Action;Adventure;Casual;Indie;Sports
1066610,Action;Free To Play;Simulation;Sports
1066670,Action;Casual;Indie
1066760,Simulation;Strategy
1066780,Casual;Indie;Simulation;Strategy
1066890,
1066900,Adventure
1066950,Casual
1067020,Casual;Indie;Sports
1067250,Indie
1067310,Action;Adventure;Free To Play;Indie
1067540,Adventure;Indie
1067850,Adventure;Indie
1067860,Indie;Simulation;Strategy;Early Access
1067900,Adventure;Casual;Indie;Simulation;Free To Play
10680,Action
1068070,Action;Indie;Simulation
1068150,Casual;Indie;Simulation
1068360,Action;Adventure;Indie;RPG
1068600,Action;Indie
1068820,Utilities
1069150,Action;Adventure;Indie
1069190,Simulation;Early Access
1069210,Adventure;Indie
1069230,Adventure;Casual
1069390,Casual;Indie;Simulation
1069530,Adventure;Indie
1069640,Action;Indie;RPG;Simulation
1069650,Indie;Simulation;Strategy
1069660,Indie;RPG;Simulation;Strategy
1069690,RPG;Strategy
1069740,Action;Adventure;Indie;Early Access
1069920,Action;Adventure;Casual;Indie;Racing;Simulation;Sports
1070020,Adventure;Casual;Indie;RPG
1070240,Adventure;Indie
1065710,
1070330,Action;Indie;Simulation;Sports;Strategy
1070440,Indie;RPG;Simulation;Strategy
1070550,Adventure;Indie
1070580,Casual;Indie;Racing
1070710,Casual;Indie
1070850,Adventure;Indie
1070860,Adventure;Casual;Indie;RPG
1070910,
107100,Action;Indie;RPG
1071100,Audio Production;Utilities
1071120,Adventure;Casual;Free To Play;Indie
1071130,Adventure;Indie
1071240,Casual;Free To Play
1071290,Action;Adventure;Indie;RPG
